"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR22HG",4.33064678160089e-10,-0.68557864319615,0.796,0.816,1.58506002853374e-05
"ABLIM3",4.3967004112589e-10,-0.446156017119704,0.811,0.863,1.60923631752487e-05
"EVI5",4.40157560211526e-10,0.563236684112809,0.975,0.912,1.61102068613021e-05
"UBA3",4.40593024265158e-10,0.623161149809895,0.873,0.72,1.61261452811291e-05
"GPT2",4.41210531108451e-10,0.22606551205287,0.52,0.299,1.61487466491004e-05
"SHB",4.44002875550824e-10,1.10228775249212,0.709,0.506,1.62509492480357e-05
"FOXJ3",4.45435470469187e-10,0.696496479162364,0.887,0.773,1.63033836546427e-05
"TMEM97",4.4666636686538e-10,0.513404969483326,0.56,0.333,1.63484356936398e-05
"METTL2B",4.48255470921032e-10,0.592241508343184,0.822,0.65,1.64065984911807e-05
"SSH2",4.5206673526913e-10,0.974879751408562,0.905,0.822,1.65460945775854e-05
"RPS6KB1",4.55170221599635e-10,0.58905299735949,0.844,0.647,1.66596852807682e-05
"CEP112",4.57049167891889e-10,0.694966162035615,0.833,0.627,1.6728456594011e-05
"MGRN1",4.63160372413358e-10,0.673169003291004,0.782,0.571,1.69521327907013e-05
"AC131568.1",4.64800187103973e-10,2.42373662924659,0.265,0.106,1.70121516481925e-05
"PSMB6",4.72097114858535e-10,-0.423572828608646,0.833,0.907,1.72792265009373e-05
"AC004253.1",4.75882501853811e-10,2.00318248482391,0.331,0.149,1.74177754503513e-05
"DCUN1D4",4.76654079799324e-10,0.64624211416411,0.858,0.752,1.74460159747351e-05
"SGPP1",4.79746635354425e-10,1.02445184978963,0.691,0.46,1.75592066006073e-05
"ST3GAL1",4.84458264950641e-10,0.714500429975213,0.916,0.833,1.77316569554584e-05
"KRIT1",4.85151482275173e-10,0.541784937571157,0.891,0.774,1.77570294027536e-05
"TMSB10",4.852677111821e-10,-0.352182899144161,0.964,0.972,1.77612834969761e-05
"AC026471.4",4.91509771450223e-10,0.835078651349042,0.44,0.235,1.79897491448496e-05
"ZC3HAV1L",4.99353730511749e-10,1.04170204634961,0.331,0.145,1.82768458904605e-05
"COX6A1",5.00394542010591e-10,-0.364213465830145,0.855,0.932,1.83149406321296e-05
"AC008397.1",5.0174097779555e-10,-5.54302539959276,0,0.128,1.83642215282949e-05
"C12orf65",5.12671290798517e-10,0.595601566586398,0.735,0.525,1.87642819145165e-05
"AC068491.3",5.13731711582894e-10,1.60487199274855,0.255,0.096,1.88030943756455e-05
"CATSPER2",5.14347942588372e-10,1.4345625871575,0.356,0.168,1.8825649046677e-05
"PACS1",5.22639027206332e-10,0.759868322942308,0.938,0.881,1.9129111034779e-05
"SNX4",5.31458440537331e-10,0.512580711678699,0.902,0.799,1.94519103821069e-05
"AC126182.3",5.35134465690433e-10,1.69296757697721,0.218,0.075,1.95864565787355e-05
"ALG9",5.35350664911392e-10,0.672588224532984,0.625,0.409,1.95943696864219e-05
"PNPT1",5.38115631673388e-10,0.615794704467948,0.858,0.711,1.96955702348777e-05
"MOSPD2",5.4002569656509e-10,0.763134786453032,0.731,0.574,1.97654805199789e-05
"RBSN",5.41642876006353e-10,0.506485260696628,0.64,0.413,1.98246709047085e-05
"AC025580.2",5.47929171295719e-10,4.39790198262174,0.171,0.049,2.00547555985946e-05
"CTC1",5.49364860206551e-10,1.03456439780653,0.244,0.088,2.010730324842e-05
