"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FYB1",3.15501656877231e-09,1.9699930299154,0.579,0.16,0.000115476761433635
"SWAP70",3.18328226473051e-09,1.79149106879505,0.737,0.282,0.000116511314171402
"PI4KA",3.19206659995135e-09,1.94395788207648,0.684,0.261,0.000116832829624819
"FAM78A",3.24205999847768e-09,1.9484184119919,0.447,0.08,0.000118662638004282
"CCDC93",3.32870778579484e-09,1.8330244722645,0.711,0.261,0.000121834033667877
"CREB1",3.32966456256858e-09,1.93190993970589,0.658,0.245,0.000121869052654572
"EP400",3.35714048268801e-09,1.88580067060495,0.658,0.218,0.000122874698806864
"HLA-DRA",3.41098355799031e-09,3.9950381452307,0.632,0.207,0.000124845409206003
"VPS13D",3.43285195471506e-09,2.14772733283717,0.711,0.277,0.000125645814394526
"WDR7",3.46602097341118e-09,2.21508314690787,0.684,0.239,0.000126859833647823
"TRIP4",3.47922632585774e-09,2.49049885569682,0.684,0.25,0.000127343162752719
"ASAH1",3.5342237128862e-09,1.97124188088792,0.789,0.378,0.000129356122115348
"PTPN1",3.541341888981e-09,1.02437706007329,0.789,0.309,0.000129616654478594
"SLC11A2",3.54874435540613e-09,2.20813348416395,0.605,0.218,0.00012988759215222
"DCTN5",3.55022655795349e-09,2.67349488901349,0.605,0.186,0.000129941842247656
"PILRA",3.58240126342697e-09,1.59244585000989,0.684,0.223,0.000131119468642691
"ZNF251",3.63434754388615e-09,3.20142902707618,0.447,0.09,0.000133020754453777
"LILRB3",3.7132362867949e-09,2.36401807921529,0.5,0.112,0.00013590816133298
"IRF2",3.75695593073368e-09,1.70350266946405,0.684,0.255,0.000137508344020783
"ANKRD27",3.82048434966921e-09,2.5048169757901,0.526,0.138,0.000139833547682243
"AL117381.1",3.90397775596516e-09,3.35864583908038,0.421,0.08,0.000142889489846081
"NPEPPS",3.90553737400398e-09,1.27644359702277,0.763,0.298,0.00014294657342592
"RPL27A",3.93935076307429e-09,-1.31696433829271,0.895,0.926,0.000144184177279282
"KLHL2",3.94704597441395e-09,2.45318386558793,0.632,0.207,0.000144465829709525
"STK3",4.03468666609463e-09,2.4240773133454,0.711,0.293,0.00014767356666573
"PDXDC1",4.04934662738605e-09,1.82006620778257,0.763,0.346,0.000148210135908957
"VAV3",4.06730195903539e-09,2.40831922948963,0.579,0.154,0.000148867319002654
"ELMOD3",4.0707461423915e-09,1.74999230804232,0.553,0.149,0.000148993379557671
"MFSD1",4.07287895499217e-09,1.91278381027447,0.763,0.324,0.000149071442631668
"GGA2",4.14992564357943e-09,1.70319443963023,0.684,0.239,0.000151891428480651
"PRKCD",4.18923034175874e-09,1.86037865835352,0.526,0.133,0.000153330019738712
"UBE2E2",4.19958949035302e-09,1.72121501729218,0.816,0.394,0.000153709174936411
"LINC-PINT",4.2127525894609e-09,2.25835825527782,0.605,0.176,0.000154190957526858
"IPO9",4.29357107169224e-09,1.97057980434454,0.658,0.218,0.000157148994795008
"RAB20",4.32669249230166e-09,2.10097863465611,0.684,0.25,0.000158361271910733
"TLR4",4.37250858975909e-09,2.39076112647491,0.579,0.17,0.000160038186893772
"AL031123.1",4.37781123358149e-09,3.5576759974058,0.237,0.011,0.000160232268960316
"SGK3",4.49734240574409e-09,1.7810309934136,0.711,0.287,0.000164607229392639
"MIB1",4.51846426459097e-09,1.92702356892929,0.632,0.223,0.000165380310548294
"ATP6V1B2",4.58900202786976e-09,1.70978602513215,0.737,0.298,0.000167962063222061
"PRDM10",4.60060241787154e-09,1.19553491805814,0.421,0.074,0.000168386649096516
"RAB42",4.63747811213255e-09,2.55700753291608,0.5,0.112,0.000169736336382164
"ACTR3",4.67458103458718e-09,1.44369447934132,0.895,0.457,0.000171094340446925
"CUEDC1",4.71055583398237e-09,2.20990002166632,0.605,0.197,0.000172411054079589
