"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"MYL6",2.24587771232351e-09,0.375605617412754,0.867,0.807,8.22013701487529e-05,"Up_in_3D"
"FCGRT",2.25021506411624e-09,0.729489405787168,0.245,0.136,8.23601215617185e-05,"Up_in_3D"
"CLTB",2.37147794812994e-09,0.455204007587119,0.409,0.261,8.67984643795038e-05,"Up_in_3D"
"CPS1",2.60756884597268e-09,0.292694028753852,0.386,0.237,9.54396273314461e-05,"Up_in_3D"
"NDUFS6",2.62313146101571e-09,0.383021731022617,0.433,0.284,9.60092346046361e-05,"Up_in_3D"
"YWHAE",2.74956347468395e-09,0.356855182721821,0.526,0.367,0.000100636772736907,"Up_in_3D"
"PSME1",2.75250700539791e-09,0.43439015493708,0.4,0.256,0.000100744508904569,"Up_in_3D"
"RAB27B",2.87219263055745e-09,-2.56147598084944,0.042,0.128,0.000105125122471033,"Up_in_2D"
"MTHFS",2.95665853647743e-09,0.898205665506062,0.279,0.17,0.00010821665909361,"Up_in_3D"
"EDF1",3.07374320515791e-09,0.376835334824495,0.677,0.505,0.000112502075051985,"Up_in_3D"
"SURF1",3.07686310086545e-09,0.92061374881495,0.248,0.141,0.000112616266354776,"Up_in_3D"
"CRCT1",3.18162074129857e-09,2.61998119681667,0.112,0.038,0.000116450500752269,"Up_in_3D"
"AL627171.2",3.18323918281194e-09,-2.60437160908537,0.083,0.182,0.0001165097373301,"Up_in_2D"
"SDHB",3.27906003843977e-09,0.61863200640658,0.358,0.231,0.000120016876466934,"Up_in_3D"
"ACAA2",3.38034436620919e-09,0.461558404782373,0.583,0.422,0.000123723984147623,"Up_in_3D"
"PSMB3",3.43075094993103e-09,0.382218448817851,0.403,0.259,0.000125568915518426,"Up_in_3D"
"RBIS",3.51169042670365e-09,0.796322602144366,0.298,0.184,0.00012853138130778,"Up_in_3D"
"PHB",3.56342775078075e-09,0.429347087455874,0.427,0.277,0.000130425019106326,"Up_in_3D"
"RNH1",3.57305664362332e-09,0.444636798689709,0.356,0.227,0.000130777446213257,"Up_in_3D"
"SMIM26",3.61186142689397e-09,0.647681475869902,0.276,0.157,0.000132197740085746,"Up_in_3D"
"MRPS16",3.74437669424767e-09,0.579608365333938,0.329,0.206,0.000137047931386159,"Up_in_3D"
"BANF1",4.0202850896729e-09,0.64256386906391,0.289,0.17,0.000147146454567118,"Up_in_3D"
"NDUFA10",4.2044929956665e-09,0.330378485205491,0.342,0.218,0.00015388864813439,"Up_in_3D"
"CHCHD1",4.62698178398276e-09,0.626669127628438,0.27,0.154,0.000169352160275553,"Up_in_3D"
"ACP1",4.70966868522767e-09,0.513863645998567,0.358,0.23,0.000172378583548018,"Up_in_3D"
"SEM1",5.1637719551104e-09,0.431090902219516,0.483,0.335,0.000188999217328996,"Up_in_3D"
"CKAP4",5.41111169080228e-09,-2.0784741358485,0.158,0.265,0.000198052098995054,"Up_in_2D"
"MOB1B",5.51967567914471e-09,-3.32274918833537,0.056,0.143,0.000202025649532376,"Up_in_2D"
"DESI1",5.61977802808487e-09,0.525879926473656,0.353,0.229,0.000205689495605934,"Up_in_3D"
"GSTO1",5.84847450382371e-09,0.452239928755063,0.642,0.474,0.000214060015314451,"Up_in_3D"
"MRPL23",5.87665499604072e-09,0.82569085763499,0.233,0.126,0.000215091449510086,"Up_in_3D"
"RPL35",5.90901509653556e-09,0.3328077788151,0.852,0.789,0.000216275861548298,"Up_in_3D"
"MRPL54",6.07552455811382e-09,0.490330933414332,0.288,0.168,0.000222370274351524,"Up_in_3D"
"ANKRD27",6.25695220253749e-09,-2.10274526670068,0.033,0.112,0.000229010707565075,"Up_in_2D"
"NDUFB6",7.49485618968507e-09,0.603851502881592,0.329,0.208,0.000274319231398663,"Up_in_3D"
"DAB2",8.05563349103665e-09,-1.33865171257667,0.17,0.284,0.000294844241405432,"Up_in_2D"
