"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL32",6.39715266905135e-20,-0.609315993626326,0.774,0.858,2.34142184839948e-15
"EIF5A",6.68817306888545e-20,-0.837564278681981,0.353,0.588,2.44793822494276e-15
"ATP5PO",6.7450462650232e-20,-0.769459205391804,0.301,0.524,2.46875438346114e-15
"PSMA2",6.89056532769687e-20,-0.887086827728094,0.242,0.448,2.52201581559033e-15
"NNMT",8.47692077144342e-20,0.74459998120652,0.819,0.753,3.102637771556e-15
"FDPS",9.02851915148659e-20,-0.786035063266811,0.37,0.605,3.30452829463561e-15
"NDUFB8",1.24899845590576e-19,-0.816723328199458,0.268,0.482,4.57145924846068e-15
"ATP5PF",1.76469942005099e-19,-0.691874118836673,0.413,0.65,6.45897634732864e-15
"RPL28",1.8335050502783e-19,-0.587620348603355,0.798,0.88,6.7108118345236e-15
"RPS27A",2.03190979914504e-19,-0.536653634236028,0.798,0.9,7.43699305585077e-15
"RPL14",3.54131739104905e-19,-0.605207297962167,0.677,0.836,1.29615757829786e-14
"NACA",4.6556220273095e-19,-0.624329282357817,0.556,0.761,1.70400421821555e-14
"HSP90AA1",5.32069145965211e-19,0.692215797371284,0.798,0.73,1.94742628114727e-14
"ECHDC2",5.93199196063205e-19,-1.17493970899711,0.208,0.398,2.17116837751094e-14
"GRHPR",6.4285048540202e-19,-1.13460216514798,0.233,0.418,2.35289706161993e-14
"ECI1",6.91861541259576e-19,-1.03568701712377,0.209,0.395,2.53228242716417e-14
"GNG5",1.23775118836929e-18,-0.816246741977314,0.324,0.538,4.53029312455045e-14
"GPX2",1.29196611113073e-18,-0.924984483355515,0.243,0.45,4.72872516334959e-14
"NDUFA6",1.6774090742071e-18,-0.839861169040746,0.232,0.433,6.13948495250542e-14
"AKR1C1",2.54573456815833e-18,-0.651787121908893,0.71,0.852,9.31764309291631e-14
"TRAPPC1",2.65286603765199e-18,-1.00124457608714,0.174,0.356,9.70975498441007e-14
"SEC11C",3.3984467082952e-18,-1.03571287416258,0.182,0.367,1.24386547970313e-13
"HEBP2",4.15194092351149e-18,-0.814082729164243,0.244,0.441,1.51965189741444e-13
"MPC2",4.35941534126819e-18,-0.707078496012728,0.314,0.544,1.59558960905757e-13
"RPS19",4.74381888679496e-18,-0.509346533662615,0.857,0.918,1.73628515075582e-13
"PDCD5",5.11157548679914e-18,-0.776317677766913,0.253,0.462,1.87088774392335e-13
"NDUFB9",5.73270190688997e-18,-0.92463033279299,0.254,0.445,2.0982262249408e-13
"MYL12A",1.03355128354333e-17,-0.652230615358378,0.488,0.702,3.78290105289695e-13
"COPS9",1.07463234085184e-17,-0.655672701824646,0.218,0.417,3.93326183075184e-13
"RPL24",1.33284540149704e-17,-0.541596743709563,0.655,0.835,4.8783474540193e-13
"RPS12",1.44078717478546e-17,-0.563629372824001,0.839,0.883,5.27342513843224e-13
"BLOC1S1",1.46557764036663e-17,-0.951750621293384,0.179,0.361,5.3641607215059e-13
"TXNDC17",1.51096161359804e-17,-0.646541901989672,0.393,0.642,5.53027060193019e-13
"S100A10",1.65899018542268e-17,-0.634540774082022,0.696,0.826,6.07206997766556e-13
"ID3",1.69349425841266e-17,-1.75079437652862,0.054,0.186,6.1983583352162e-13
"SMDT1",1.76136819016492e-17,-1.05093444870412,0.138,0.303,6.44678371282262e-13
"MEGF9",1.83576201739035e-17,2.42788561031882,0.307,0.145,6.71907255985042e-13
"C19orf53",1.8523000813849e-17,-0.786593447611116,0.198,0.398,6.77960352787687e-13
"ATP2B4",2.11593073008084e-17,2.64642556160429,0.316,0.158,7.74451806516887e-13
"CD151",2.16719956175662e-17,-0.659685106720926,0.361,0.577,7.93216711598541e-13
"RPL7A",2.35960031599099e-17,-0.532505156224278,0.709,0.841,8.63637311655861e-13
"HTATIP2",2.45197374099372e-17,-0.735968387453542,0.247,0.439,8.97446908941112e-13
"ZFP36L1",2.47726167077763e-17,1.72673501024961,0.412,0.248,9.06702544121319e-13
"ATP5F1C",2.62881117351786e-17,-0.717061296050831,0.302,0.502,9.62171177619273e-13
"DEFB1",2.81388424292594e-17,-0.996103987415188,0.424,0.629,1.02990977175332e-12
"TMEM256",3.08394590118346e-17,-0.871615290343738,0.177,0.355,1.12875503929216e-12
"ATP5PD",3.20010759167682e-17,-0.66916330670492,0.348,0.561,1.17127137962963e-12
"NDUFB5",4.2382416755587e-17,-0.854484245088482,0.195,0.37,1.55123883567124e-12
"RPL29",4.39775507384811e-17,-0.574934748728417,0.655,0.805,1.60962233457915e-12
"MASP2",5.515983162396e-17,-1.17251557733625,0.165,0.33,2.01890499726856e-12
"UFC1",6.4321104242855e-17,-0.855482961212428,0.161,0.336,2.35421673639274e-12
"NME1",6.46684364791158e-17,-0.833368784053574,0.246,0.441,2.36692944357212e-12
"EEF1B2",6.83956261024256e-17,-0.70145644281046,0.521,0.718,2.50334831097488e-12
"NDUFA3",6.87590638441296e-17,-0.754053309942377,0.215,0.405,2.51665049575899e-12
"RPS21",7.32081337009496e-17,-0.591415230233196,0.643,0.797,2.67949090158846e-12
"CFL1",7.82881056580485e-17,-0.608814329743947,0.531,0.747,2.86542295519023e-12
"RPS28",1.32058989017701e-16,-0.513733161264188,0.835,0.867,4.83349105703689e-12
"KRT7",1.6387789202338e-16,-1.11389323483741,0.298,0.503,5.99809472594772e-12
"CLDN1",1.68164193962932e-16,1.73211124841634,0.411,0.252,6.15497766323728e-12
"ACTA2",1.68553403499749e-16,2.5340739073963,0.289,0.13,6.16922312149433e-12
"FOSB",2.02054371533752e-16,-2.87546308562161,0.017,0.111,7.39539205250686e-12
"SLPI",2.28492986814848e-16,-0.9356014751766,0.172,0.347,8.36307181041026e-12
"CIB1",2.35918897372422e-16,-0.720169804084195,0.259,0.455,8.63486756272801e-12
"NDUFV2",2.57845361105343e-16,-0.690019226671073,0.4,0.609,9.43739806181664e-12
"NDUFB10",2.88351313046349e-16,-0.67310150132756,0.275,0.482,1.05539464088094e-11
"POLR2L",3.18606428972153e-16,-0.579334244231256,0.468,0.676,1.16613139068098e-11
"SNHG29",3.18944357042225e-16,-0.760846154085967,0.378,0.58,1.16736824121025e-11
"NDUFAB1",3.68508830847803e-16,-0.629153460296203,0.254,0.453,1.34877917178604e-11
"BTF3",3.69461153883643e-16,-0.672245817242719,0.355,0.579,1.35226476932952e-11
"AKR1C3",4.4846639389727e-16,-0.651679416448523,0.45,0.656,1.6414318483034e-11
"MT1A",4.52894795977205e-16,-1.09965503371726,0.2,0.38,1.65764024275617e-11
"CLU",5.46990935077677e-16,-0.841332503006984,0.555,0.726,2.0020415214778e-11
"UBA52",6.24148515620366e-16,-0.543436768246846,0.649,0.785,2.2844459820221e-11
"HSP90B1",8.08540253219427e-16,1.05707972786617,0.587,0.461,2.95933818080842e-11
"SPTBN1",8.73342672693321e-16,1.34445268005463,0.548,0.462,3.19652151632482e-11
"HGD",8.78326037578196e-16,-1.11373040088424,0.217,0.382,3.21476113013995e-11
"BIRC3",8.80674032796827e-16,1.98525129748793,0.337,0.176,3.22335502743967e-11
"NDUFA2",8.82887150816523e-16,-0.804572247603063,0.197,0.368,3.23145526070356e-11
"KRT18",9.41949183612288e-16,-0.709511932903132,0.847,0.885,3.44762820693934e-11
"PFN1",1.17532304988973e-15,-0.598813721401483,0.622,0.797,4.30179989490139e-11
"SPCS1",1.2002458324691e-15,-0.521303634511349,0.242,0.445,4.39301977142017e-11
"MSRB2",1.58474339272413e-15,-0.936215430257639,0.179,0.341,5.80031929170957e-11
"S100A13",1.5894400828045e-15,-0.852162653566246,0.201,0.374,5.81750964707274e-11
"GPX4",1.97795009564686e-15,-0.547084941520713,0.441,0.668,7.23949514507708e-11
"SDSL",2.02016075048448e-15,-1.01511778871777,0.154,0.309,7.39399036284824e-11
"TAF10",2.14309223522882e-15,-0.756849589434099,0.216,0.389,7.84393189016101e-11
"DNPH1",2.20171119475797e-15,-0.916691041885658,0.191,0.361,8.05848314393364e-11
"TSPO",2.2851343284773e-15,-0.677621877245818,0.339,0.545,8.36382015565976e-11
"CHMP2A",2.48643189768427e-15,-0.530594372288691,0.232,0.42,9.10058938871419e-11
"ITGB1",2.9293279491675e-15,0.671174240391315,0.738,0.67,1.0721633226748e-10
"ID1",3.13707373202339e-15,-1.44977749543408,0.116,0.258,1.14820035665788e-10
"SLC39A14",3.32729652162218e-15,1.80238310085594,0.4,0.265,1.21782379987893e-10
"RPS7",4.51687057020654e-15,-0.484174260423903,0.683,0.815,1.65321979740129e-10
"CCL15",4.58345452642036e-15,-1.45654491855066,0.114,0.253,1.67759019121512e-10
"PGAM1",5.65161511846583e-15,-0.628885488514376,0.223,0.398,2.06854764950968e-10
"TUFM",5.94779595645526e-15,-0.4970124382199,0.237,0.424,2.17695279802219e-10
"ZFAS1",6.27681475794097e-15,-0.729314330849191,0.29,0.476,2.29737696955397e-10
"DNAJC15",7.6571757100749e-15,-0.648790684520688,0.272,0.458,2.80260288164451e-10
"LAMTOR2",8.07492548748841e-15,-0.641912865448074,0.202,0.377,2.95550347767563e-10
"UXT",8.33209339448897e-15,-0.839006754133789,0.177,0.339,3.04962950331691e-10
"SEC61B",8.41746635532717e-15,-0.586454697489461,0.462,0.679,3.0808768607133e-10
"AZGP1",1.0099872244164e-14,-0.712281939680538,0.368,0.568,3.69665424008648e-10
"LDHA",1.07202145934145e-14,-0.634227410933442,0.501,0.688,3.92370574333565e-10
"RPS27L",1.11327613817612e-14,-0.585877843403333,0.489,0.7,4.07470199333842e-10
"TMA7",1.27677126332344e-14,-0.585487786227863,0.327,0.532,4.67311050089014e-10
"PSMD8",1.35641582499455e-14,-0.586551649607841,0.285,0.476,4.96461756106256e-10
"C1orf122",1.4542921017101e-14,-0.99572038686447,0.14,0.289,5.32285452146913e-10
"ARPC3",1.89198463038522e-14,-0.573629849230444,0.394,0.592,6.92485294567295e-10
"LBP",2.22140930948542e-14,0.635238237778188,0.689,0.597,8.13058021364758e-10
"MRPS24",2.34108328048268e-14,-0.711709300452978,0.198,0.365,8.56859891489465e-10
"GAMT",2.62777663407238e-14,-0.670731291584003,0.212,0.379,9.6179252583683e-10
"CSTA",2.63200127622345e-14,-2.11385347357444,0.033,0.132,9.63338787110545e-10
"PCBD1",3.10393760452418e-14,-0.844972736360259,0.226,0.394,1.1360722026319e-09
"IGFBP2",4.69387702261251e-14,-0.73348199400855,0.361,0.556,1.7180059290464e-09
"SIGIRR",4.83435198848456e-14,-0.903851361597332,0.18,0.336,1.76942117130523e-09
"NHP2",5.48404581743153e-14,-0.976338928981675,0.15,0.3,2.00721560963811e-09
"C12orf57",5.54595341167997e-14,-0.930959556973015,0.134,0.28,2.02987440820898e-09
