"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DTYMK",6.04751181180641e-08,-2.10481754364027,0.024,0.119,0.00221344979823926
"ESD",6.08464981788547e-08,-0.626309978635711,0.132,0.298,0.00222704267984426
"PIN1",6.16408054809508e-08,-1.0765262658707,0.075,0.212,0.00225611512140828
"MCUB",6.17833243716074e-08,-0.706859809153196,0.032,0.138,0.0022613314553252
"STX18",6.19828760391298e-08,-1.47472952820833,0.028,0.128,0.00226863524590819
"NFKBIA",6.22069880433407e-08,-0.4746906787594,0.13,0.301,0.00227683796937431
"TXN2",6.38110699625653e-08,-1.09295660143715,0.088,0.231,0.00233554897169985
"PSMB1",6.41733888997679e-08,-0.599762947750577,0.276,0.49,0.00234881020712041
"PAIP1",6.42880739988116e-08,-0.935826932673601,0.103,0.253,0.0023530077964305
"OST4",6.63281335931531e-08,-0.490430936411285,0.41,0.654,0.002427676017643
"MPG",6.69871189176458e-08,-0.729000381173237,0.12,0.282,0.00245179553950476
"RGN",6.8992770094131e-08,-2.55330750819483,0.019,0.109,0.00252520437821529
"MRPL46",6.91955081952491e-08,-1.45612496410861,0.024,0.119,0.00253262479545431
"SWI5",7.01302837699979e-08,-0.76576585219994,0.041,0.154,0.00256683851626569
"RND3",7.08103112021657e-08,-0.676456236795661,0.147,0.317,0.00259172820031047
"TTC39C",7.08605643749178e-08,-1.61737757790452,0.038,0.147,0.00259356751668637
"HAGH",7.14075721953113e-08,-0.924514139612241,0.06,0.186,0.00261358854992059
"C4orf48",7.16196124302621e-08,-0.570810398917532,0.175,0.365,0.00262134943456002
"NFKBIZ",7.20235581260372e-08,-1.6050752317658,0.036,0.144,0.00263613425097109
"SAT1",7.42065207385339e-08,-0.641752639510369,0.472,0.676,0.00271603286555108
"TIMP1",7.42191618600048e-08,-0.539628025894576,0.622,0.792,0.00271649554323804
"DNAJA2",7.53424679004434e-08,-0.81404357823907,0.079,0.218,0.00275760966762413
"MRPS2",7.54226757463798e-08,-1.23530803278473,0.036,0.144,0.00276054535499325
"TOMM6",7.55794526779721e-08,-0.819137683265833,0.169,0.346,0.00276628354746646
"COA1",7.68087713489024e-08,-1.01311739440285,0.043,0.157,0.00281127784014118
"COA3",7.74947305502956e-08,-0.91950987848181,0.085,0.228,0.00283638463287137
"GET3",7.77120441622517e-08,-1.01670405726036,0.068,0.199,0.00284433852838257
"IGFBP7",7.87458339695575e-08,-0.645690778405623,0.346,0.564,0.00288217626911977
"LSM7",7.96721723078666e-08,-0.520182475042215,0.147,0.327,0.00291608117864022
"CHMP2A",8.10823029867289e-08,-0.541041585673253,0.173,0.369,0.00296769337161727
"LSM5",8.1344205018644e-08,-0.51113950681371,0.085,0.231,0.00297727924788739
"HIF1A",8.1686624008244e-08,1.50456219763147,0.447,0.308,0.00298981212532574
"SLC25A4",8.1930309544204e-08,-1.5829413281484,0.053,0.173,0.00299873125962741
"COA4",8.28532044795136e-08,-0.629573864040713,0.094,0.244,0.00303251013715468
"ATOX1",8.32229388748823e-08,-0.497047744930161,0.282,0.5,0.00304604278575957
"UFC1",8.35410951733225e-08,-0.750786702147013,0.128,0.295,0.00305768762443878
"MYCBP",8.41207180863072e-08,-1.52063263638031,0.026,0.122,0.00307890240267693
"RPL35",8.41360265313335e-08,-0.322156608471698,0.818,0.929,0.00307946270707334
"SMIM19",8.41923538314053e-08,-1.3784760941334,0.03,0.131,0.00308152434258326
"RPL26L1",8.46596713649134e-08,-0.393838850540146,0.085,0.234,0.0030986286316272
"JUNB",8.59719969275484e-08,-1.19477949352816,0.098,0.244,0.0031466610595452
"ISCA1",8.70851584428499e-08,-0.878658733631614,0.06,0.186,0.00318740388416675
"NTPCR",8.7473272287993e-08,-1.27883574220076,0.041,0.151,0.00320160923901283
"FKBP1A",8.89833845673343e-08,-0.578906175212974,0.329,0.551,0.003256880858549
"MSANTD3",8.92536700164241e-08,-1.06625408380562,0.066,0.196,0.00326677357627114
"SPCS1",9.02045326956519e-08,-0.673561050896254,0.186,0.372,0.00330157610119355
"ANAPC15",9.29829116755001e-08,-0.659326709889243,0.051,0.173,0.00340326755023498
"RPL34",9.4161030896821e-08,-0.300906970823942,0.85,0.929,0.00344638789185455
"HRAS",9.55441927326227e-08,-0.285255564981048,0.081,0.224,0.00349701299820672
"C1orf43",9.57549158418091e-08,-0.591445238227559,0.118,0.279,0.00350472567472606
"PDHA1",9.65333395504631e-08,-0.785871570831155,0.079,0.215,0.0035332167608865
"CLDN1",9.72323121625117e-08,2.48831639164836,0.235,0.096,0.00355879985746009
"ZNF593",9.74284664893469e-08,-0.889847014697976,0.092,0.237,0.00356597930197659
"PDLIM4",9.8741754664973e-08,-1.41306402725073,0.026,0.122,0.00361404696249268
"PSMD2",9.9194428942435e-08,-0.681004071272521,0.197,0.385,0.00363061529372206
"ATP2B4",9.99546189385288e-08,2.78157429084963,0.218,0.083,0.00365843900776909
"PLP2",1.01832764131793e-07,-0.733262383428336,0.137,0.304,0.00372718099998776
"MOCS2",1.02873193091214e-07,-1.06900109556244,0.066,0.196,0.00376526174033151
"RPS9",1.04114805697814e-07,-0.391831407038111,0.705,0.872,0.00381070600334568
"TKT",1.0450816523454e-07,-0.659102701544125,0.327,0.522,0.0038251033557494
"GTF2B",1.0517639548177e-07,-1.30590733851148,0.045,0.157,0.00384956125102828
"ZFP36",1.06439225568332e-07,-1.03624462465609,0.041,0.151,0.00389578209502652
"MAF1",1.06442496959876e-07,-0.645634552973412,0.047,0.163,0.00389590183122841
"GTF2A2",1.07059830468743e-07,-0.648663940828575,0.118,0.276,0.00391849685498646
"BCAS2",1.11028122181248e-07,-1.24343962074682,0.053,0.173,0.00406374029995586
"CBR1",1.13005416355489e-07,-0.824700763845638,0.152,0.321,0.00413611124402725
"GIPC1",1.13544333228062e-07,-0.715588962955973,0.113,0.269,0.00415583614048031
"COMMD3",1.14373874464238e-07,-1.02006987120653,0.058,0.179,0.00418619817926559
"TATDN1",1.18139517927227e-07,-0.889041224793714,0.051,0.17,0.00432402449565444
"ATP5MPL",1.18884604482056e-07,-0.458850308575613,0.276,0.5,0.00435129540864773
"ADK",1.19051986035165e-07,-1.38768297085738,0.111,0.256,0.00435742174087307
"COPZ1",1.19234825744161e-07,-0.836252001277998,0.109,0.263,0.00436411385706203
"MARCH2",1.20967752406233e-07,-1.16702530625227,0.045,0.157,0.00442754070582052
"RHOC",1.22309241789037e-07,-0.620611439728084,0.301,0.506,0.00447664055872056
"PUF60",1.23149771213357e-07,-0.962397410878404,0.071,0.199,0.00450740477618006
"CHCHD5",1.23258022354752e-07,-0.903588727285859,0.073,0.205,0.00451136687620629
"HMGN1",1.25064761840736e-07,-0.52604218108356,0.22,0.413,0.00457749534813278
"RANBP1",1.26801144321349e-07,-0.644390859325622,0.13,0.295,0.00464104868330571
"AKIP1",1.27099630480308e-07,-0.962990377312872,0.043,0.154,0.00465197357520977
"PSMD8",1.33453063298702e-07,-0.51058199859869,0.263,0.487,0.00488451556979579
"TOMM22",1.34059808762876e-07,-0.718642253360439,0.096,0.244,0.00490672306053004
"FDXR",1.38116024144975e-07,-1.33109098295684,0.03,0.128,0.00505518459973024
"FKBP3",1.38490094102542e-07,-0.616626043476466,0.124,0.282,0.00506887593424713
"MRPL12",1.3863979397211e-07,-0.772141946213447,0.088,0.228,0.00507435509917321
"TMEM242",1.39838220207422e-07,-1.88549880205433,0.024,0.115,0.00511821869781185
"RAD23A",1.40599352689639e-07,-0.613466323874779,0.109,0.263,0.00514607690779348
"ATP6V1F",1.42620703529103e-07,-0.679299256862393,0.171,0.353,0.00522006036986868
"ECD",1.43741923874869e-07,-1.93385835997471,0.019,0.106,0.00526109815574407
"RALB",1.43754850317077e-07,-1.02501550529402,0.062,0.186,0.00526157127645534
"SOD2",1.44177398107869e-07,0.5246946989076,0.949,0.894,0.00527703694814612
"LSM4",1.44615862601124e-07,-0.579847296952428,0.143,0.314,0.00529308518706373
"MRPL21",1.4665181496449e-07,-0.701816607584931,0.094,0.237,0.00536760307951531
"RTRAF",1.49067062757608e-07,-0.779254004340722,0.156,0.327,0.00545600356399123
"RDH14",1.49347652935666e-07,-0.98581138381178,0.03,0.128,0.00546627344509831
"PNPLA4",1.51152019243445e-07,-1.56665398615544,0.03,0.128,0.00553231505632932
"IGBP1",1.51340647004575e-07,-0.624414481518096,0.066,0.196,0.00553921902101443
"ARF5",1.52626280700518e-07,-0.60022196080549,0.109,0.263,0.00558627449991967
"SMCO4",1.53327946189498e-07,-1.11478403245158,0.028,0.125,0.00561195615848183
"OSTF1",1.53416543896872e-07,-1.02238152438433,0.064,0.189,0.00561519892316942
"NIFK",1.56428996081692e-07,-0.891168566291586,0.068,0.196,0.00572545768558599
