"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"DDI2",1.07879297456654e-15,-0.951123939285529,0.46,0.753,3.94849016621098e-11,"Up_in_2D"
"PARP12",1.09069252908812e-15,-1.08812088286938,0.327,0.607,3.99204372571542e-11,"Up_in_2D"
"FYN",1.10338690885487e-15,-0.650785288297099,0.801,0.931,4.03850642509969e-11,"Up_in_2D"
"CTDSPL",1.10481872709185e-15,-0.826798865958415,0.808,0.902,4.04374702302886e-11,"Up_in_2D"
"ZNFX1",1.12505697091714e-15,-0.655604628990714,0.655,0.847,4.11782101925383e-11,"Up_in_2D"
"MTA3",1.14507399254479e-15,-0.770421407696838,0.705,0.876,4.19108532011319e-11,"Up_in_2D"
"ETV1",1.14955318912437e-15,1.69140123818038,0.479,0.225,4.2074796275141e-11,"Up_in_3D"
"SEC22B",1.21831711887037e-15,0.58378152740616,0.898,0.898,4.45916248677745e-11,"Up_in_3D"
"FASTKD1",1.22584022737878e-15,-1.49993424806296,0.344,0.618,4.48669781622909e-11,"Up_in_2D"
"EHD4",1.22998380500736e-15,-1.33276767709089,0.397,0.64,4.50186372470744e-11,"Up_in_2D"
"NAPB",1.2648596515322e-15,-1.29260845329065,0.267,0.545,4.62951281057301e-11,"Up_in_2D"
"CEMIP",1.27836775733519e-15,-2.84344866092198,0.304,0.56,4.67895382862255e-11,"Up_in_2D"
"NDUFA6",1.29579352675087e-15,0.557782023566437,0.903,0.8,4.74273388726085e-11,"Up_in_3D"
"EPN2",1.30234172555204e-15,-0.886895292566845,0.768,0.895,4.76670094969302e-11,"Up_in_2D"
"ZNF512",1.32257744136634e-15,-1.17594063339689,0.462,0.716,4.84076569314494e-11,"Up_in_2D"
"AKAP10",1.32744749715732e-15,-1.02158204785145,0.637,0.825,4.8585905843455e-11,"Up_in_2D"
"CTSA",1.3680169196977e-15,0.482841108231932,0.886,0.836,5.00707872778554e-11,"Up_in_3D"
"CCDC59",1.39258539663888e-15,0.575495164915344,0.858,0.818,5.09700181023796e-11,"Up_in_3D"
"AC020651.2",1.39910833186525e-15,4.26183439092224,0.201,0,5.12087640545999e-11,"Up_in_3D"
"SSR4",1.40209592625591e-15,0.488975289095754,0.95,0.833,5.13181129968926e-11,"Up_in_3D"
"SLMAP",1.41971994758998e-15,-1.04653525651406,0.808,0.916,5.1963169801741e-11,"Up_in_2D"
"INTU",1.44524003803598e-15,-1.31781301534747,0.385,0.636,5.28972306321548e-11,"Up_in_2D"
"GYS1",1.45993326347235e-15,-0.648272983158721,0.462,0.716,5.34350173763516e-11,"Up_in_2D"
"FUT10",1.46170676134407e-15,-0.944193684068892,0.448,0.724,5.34999291719545e-11,"Up_in_2D"
"SYBU",1.46941526431108e-15,-1.35850941101997,0.112,0.327,5.378206808905e-11,"Up_in_2D"
