"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"PEX2",8.02862220524092e-07,0.778518079782471,0.144,0.043,0.0293855601334023,"Up_in_3D"
"DEFB1",8.08630761036185e-07,0.590191837861229,0.5,0.308,0.0295966944846854,"Up_in_3D"
"COMMD9",8.15483248830665e-07,1.06629899667803,0.144,0.043,0.0298475023904512,"Up_in_3D"
"COPS6",8.19308099644554e-07,0.494941053504271,0.26,0.113,0.0299874957550903,"Up_in_3D"
"ETHE1",8.21844176417438e-07,0.922809688763784,0.17,0.058,0.0300803187010546,"Up_in_3D"
"ATP5PD",8.25362421641555e-07,0.425031463028467,0.513,0.293,0.0302090899945025,"Up_in_3D"
"SRM",8.39211466586537e-07,0.558438960870379,0.311,0.15,0.0307159788885339,"Up_in_3D"
"YRDC",8.42332968698347e-07,2.17813854741508,0.115,0.028,0.0308302289873282,"Up_in_3D"
"ALKBH7",8.46832220081418e-07,0.781795010654885,0.215,0.085,0.0309949060872,"Up_in_3D"
"SIK3",8.7405177457949e-07,0.868491786963941,0.151,0.047,0.0319911690013839,"Up_in_3D"
"LGALS3",8.80351414369439e-07,0.541148960267165,0.404,0.218,0.0322217421173358,"Up_in_3D"
"IDH2",8.81130800579862e-07,0.562358118241673,0.26,0.115,0.0322502684320235,"Up_in_3D"
"HSP90B1",8.82128158872837e-07,-0.953783370156868,0.356,0.502,0.0322867727429047,"Up_in_2D"
"TRAPPC1",8.8244254426593e-07,0.500261204194938,0.337,0.169,0.0322982795626773,"Up_in_3D"
"ARGLU1",8.8414751950725e-07,0.314998923840368,0.186,0.066,0.0323606833614849,"Up_in_3D"
"PCMTD1",8.84608744501459e-07,1.0397211609846,0.176,0.062,0.0323775646574979,"Up_in_3D"
"ISCA2",8.87525206435009e-07,1.68777267625401,0.131,0.036,0.0324843100807278,"Up_in_3D"
"CFDP1",8.89087221543523e-07,0.53040263169358,0.196,0.073,0.0325414813957145,"Up_in_3D"
"TMSB10",8.89413505920144e-07,0.254019990538172,0.984,0.942,0.0325534237301832,"Up_in_3D"
"TOMM5",8.90606373247125e-07,0.505087015597391,0.327,0.158,0.032597083867218,"Up_in_3D"
"NDFIP1",8.90628113756679e-07,0.851404527379851,0.237,0.103,0.0325978795916082,"Up_in_3D"
"EXOSC3",8.91648715970963e-07,1.9163847793853,0.103,0.021,0.0326352346532532,"Up_in_3D"
